SKU,Catalogue Code,Product Name,Category,Brand,Sale Price,RRP,Product Features,Marketing Text,Category Marketing Text,Width,Depth,Height,Product Weight (kg),Material,Finish,Colour,Bespoke Fabric Product,Seat Width,Seat Depth,Seat Height,Back Type,Back Width,Back Height,Arms Included,Arm Type,Arms Removable,Arms Width,Arms Height,Mech: Gas Height Adjustment,Headrest Included,Headrest Type,Adjustable Headrest,Height Adjustable Back,Mech: Permanent Contact Backrest,Mech: Independent Seat & Back,Integral Lumbar Support,Adjustable Lumbar Support,Mech: Seat Slide,Mech: Seat Angle Adjustment,Mech: Seat Depth Adjustment,Mech: Synchro Tilt,Mech: Infinite Lock Mechanism,Mech: Lock Tilt Motion,Mech: Knee Tilt,Mech: Anti-Shock,Mech: Tilt Tension Adjustment,Mech: Auto Tilt Tensioner,Recommended Usage (Hours),Stackable,Maximum Weight Capacity (kg),Seat Colour,Back Colour,Frame Colour,Seat Material,Back Material,Frame Material,MOQ,Standard Delivery Time,Product Returnable,Self Assembly,Next Day Cost,7-10 Day Install Cost,3-5 Day Prebuild Cost,Next Day Prebuild Cost,Mechanical Components Guarantee,Fabric and Foam Guarantee,Country of Origin,Test Certificates,Add-On 1,Add-On 2,Add-On 3,Add-On 4,Add-On 5,Add-On 6,Add-On 7,Add-On 8,Commodity Code,ISPC Code,EAN Barcode,Last Updated
AC000001,CHIROFOLDINGARMS,Chiro Height Adjustable And Foldaway Arm,Accessory,Chiro,,80, Flip back easy-stow action  Attractive silver hinge plate  Height adjustable movement  Allows complete arm support or full no arm mode,An ingenious feature armrest that is height adjustable and also swivels back for maximum comfort for close at desk work.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,0.5,Nylon,Black ,Black ,false,,,,,,,true,Multi Adjustable,true,,,,false,,,,,,,,,,,,,,,,,,24,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,1 Year,China,,OP000245,OP000248,OP000246,KCUP1496,OP000247,,,,94019080,60232,5.06027E+12,03/06/2024
AC000002,ISOARMS,ISO Black Shaped Arm Set,Accessory,ISO,,41, Large looped soft touch arm  Easily fitted with under seat fixing  Shaped with splayed effect for comfort  The Iso chair cannot be stacked once the arms/ writing tablets have been fitted,Easily fitted by a knock in arm fitting this shaped arm provides support for meetings and conferences when fitted to the ISO chair.,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,0.5,Nylon,Black,Black,false,,,,,,,true,Fixed,true,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,,Italy ,,BR000067,BR000055,BR000059,BR000074,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000003,MIRAGEIIHEADRESTONLY,Mirage II Headrest Black Mesh Only,Accessory,Mirage,,41, Curved headrest design for comfort and style  Matches chair upholstery theme  Pivot system provides perfect adjustment,A headrest to top off the exceptional Mirage chair,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",270,130,155,0.5,Nylon,Black,Black,false,,,,,,,false,,,,,,true,Fixed,false,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,2 Years,1 Year,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000006,SHADOWAHR,Stealth Shadow Ergo Posture Chair Airmesh Headrest,Accessory,Stealth,,80, Airmesh headrest matches chair fabric  upholstery  Adjustable feature for best fit  Headrest shape is curved for comfort,A shaped headrest option for the Stealth chair,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",320,120,230,1,Fabric,Black,Black,false,,,,,,,false,,,,,,true,Height Adjustable,true,,,,,,,,,,,,,,,,24,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000008,VICTORHEADREST,Victor II Headrest,Accessory,Victor,,52, Adjustable for comfort  Soft Bonded Leather for a luxury look  Curved shape,The headrest to add to the Victor chair adding comfort to an already great package,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",290,120,150,0.7,Fabric,Black,Black,false,,,,,,,false,,,,,,true,Fixed,false,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,2 Years,1 Year,China ,,,,,,,,,,94013000,60232,5.06027E+12,03/06/2024
AC000011,ZRBLKHR,Zure White Shell Black Fabric Headrest,Accessory,Zure,,106, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Fabric,Black,Black,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000012,ZRCOALHR,Zure White Shell Charcoal Mesh Headrest,Accessory,Zure,,106, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Mesh,Charcoal,Charcoal,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000013,ZRGRYHR,Zure White Shell Elastomer Grey Headrest,Accessory,Zure,,106, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Elastomer,Grey,Grey,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000014,ZRORGHR,Zure White Shell Elastomer Orange Headrest,Accessory,Zure,,106, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Elastomer,Orange,Orange,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000015,ZRMANDHR,Zure White Shell Mandarin Mesh Headrest,Accessory,Zure,,106, Height adjustable feature  Shell construction continues design signature of chair  Curved for comfort,Futuristic headrest design to perfectly complement the Zure distinctive design signature,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",195,140,195,0.9,Mesh,Mandarin,Mandarin,false,,,,,,,false,,,,,,true,Adjustable,true,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,5 Years,2 Years,China ,BS 5852 Ignition Source 5 (Crib 5); EN 1021-1; EN 1021-2,,,,,,,,,94019080,60232,5.05585E+12,03/06/2024
AC000022,LTH037,Laptop Cradle in Black,Accessory,Dynamic,,84, Innovative one-piece design  Holds laptop securely to monitor arm  Can be used for tablets  Ventilated operating design  Conforms to safety requirements,Ventilated design laptop and tablet holder that works with Easy Adjust arms to hold alternative personal computing items,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,0.5,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,24,false,,,,,,,,1,3-May,Yes,Yes,4.95,,,,1 Year,,China ,,,,,,,,,,39261000,60232,5.05585E+12,03/06/2024
AC000024,SOFTWHEELCASTORS,Soft Wheel Castors (Set of 5),Accessory,Dynamic,,27, Twin wheel configuration for easy glide running  Toughened nylon bearings  Soft wheel ideal on hard floor areas to assist with smooth running,"A twin wheel castor set for use on hard floors when a more cushioned, softer running movement is preferred","Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,2,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,54075200,60232,5.06027E+12,03/06/2024
AC000027,BREAKLOADEDCASTORS,Brake Loaded Castors (Set of 5),Accessory,Dynamic,,22," Twin wheeled specialist castors  Ideal for hard, vinyl, epoxy, wood or concrete floors  Only brake while the user is sitting on the chair  Gives user more control and stability","Ingenious design means castors move smoothly when user is not sitting on the chair, and are hard to move when weighted.","Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,3.2,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94039990,60232,5.06027E+12,03/06/2024
AC000028,STANDARDCASTORS,Standard Castors (Set of 5),Accessory,Dynamic,,27, Twin wheel configuration for easy glide running Toughened nylon bearings Steel circlip fixing post for push in security,"Twin wheel castors set in a high impact, high density polyacrylic profile.  Our castors give you smooth travel on the average of eight miles a year an office chair moves","Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,2,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,Great Britain,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000029,GLIDESSET,Glides (Set of 5),Accessory,Dynamic,,21," Designed for use when constant movement is not required  Flat, smooth base for stability  Stops chair moving when seated, can be used easily when not seated",An attractive polyacrylic pad for use when less ease of movement is required when seated,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,3.5,Plastic,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000031,GASLIFT7,Gas Lift 7 Black,Accessory,Dynamic,,16, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
AC000032,GASLIFT9,Gas Lift 9 Black,Accessory,Dynamic,,26, High pressure gas assisted height lift  Safety chamber incorporated  Sprung soft sit feature  Large pump action button for positive operation,Premium quality high pressure gas lift struts to provide easy height adjustment to our chairs,"Whether you need a replacement part or a way of enhancing your existing products, our accessories range offers a variety of high quality products to fit many items in the Dynamic family.",,,,5,Metal,Black,Black,false,,,,,,,false,,,,,,false,,,,,,,,,,,,,,,,,,8,false,,,,,,,,1,3-May,Yes,No,4.95,,,,1 Year,,China ,,,,,,,,,,94019080,60232,5.06027E+12,03/06/2024
